20 180
e 1 2
e 2 1
e 1 3
e 3 1
e 1 4
e 4 1
e 1 5
e 5 1
e 1 6
e 6 1
e 1 10
e 10 1
e 1 13
e 13 1
e 1 15
e 15 1
e 1 17
e 17 1
e 1 18
e 18 1
e 2 3
e 3 2
e 2 6
e 6 2
e 2 9
e 9 2
e 2 10
e 10 2
e 2 12
e 12 2
e 2 13
e 13 2
e 2 15
e 15 2
e 2 16
e 16 2
e 2 18
e 18 2
e 2 20
e 20 2
e 3 4
e 4 3
e 3 7
e 7 3
e 3 9
e 9 3
e 3 10
e 10 3
e 3 14
e 14 3
e 3 15
e 15 3
e 3 19
e 19 3
e 4 5
e 5 4
e 4 7
e 7 4
e 4 9
e 9 4
e 4 14
e 14 4
e 5 7
e 7 5
e 5 11
e 11 5
e 5 12
e 12 5
e 5 13
e 13 5
e 5 18
e 18 5
e 5 19
e 19 5
e 5 20
e 20 5
e 6 9
e 9 6
e 6 15
e 15 6
e 6 18
e 18 6
e 6 20
e 20 6
e 7 9
e 9 7
e 7 14
e 14 7
e 7 16
e 16 7
e 7 17
e 17 7
e 7 19
e 19 7
e 8 10
e 10 8
e 8 11
e 11 8
e 8 12
e 12 8
e 8 13
e 13 8
e 8 14
e 14 8
e 8 17
e 17 8
e 8 18
e 18 8
e 8 19
e 19 8
e 9 10
e 10 9
e 9 11
e 11 9
e 9 13
e 13 9
e 9 14
e 14 9
e 9 15
e 15 9
e 9 20
e 20 9
e 10 14
e 14 10
e 10 15
e 15 10
e 10 17
e 17 10
e 10 19
e 19 10
e 10 20
e 20 10
e 11 14
e 14 11
e 11 15
e 15 11
e 11 17
e 17 11
e 12 13
e 13 12
e 12 14
e 14 12
e 12 15
e 15 12
e 12 16
e 16 12
e 12 17
e 17 12
e 12 18
e 18 12
e 13 14
e 14 13
e 13 19
e 19 13
e 13 20
e 20 13
e 14 16
e 16 14
e 14 17
e 17 14
e 15 16
e 16 15
e 15 18
e 18 15
e 15 20
e 20 15
e 16 17
e 17 16
e 16 18
e 18 16
e 16 19
e 19 16
e 16 20
e 20 16
e 17 20
e 20 17
e 18 19
e 19 18
e 19 20
e 20 19
